id,mz,rt,annotation
1,NA,576.25,
2,NA,584.45,Glucose
3,NA,474.85,Asparagine
4,NA,544.98,L-Asparagine
5,NA,591.98,Glucose
6,NA,573.35,Fructose
7,NA,437.37,Malic acid
8,NA,578.40,Fructose
9,NA,447.95,4-Aminoburytic acid
10,NA,453.60,L-Aspartic acid
11,NA,489.90,Asparagine
12,NA,502.30,L-Glutamic acid
13,NA,554.30,Glucose 1P
14,NA,461.47,Aparagine
15,NA,412.10,L-Alanine
16,NA,482.60,Fame C12
17,NA,585.77,Citric acid
18,NA,464.55,L-Glutamine
19,NA,592.63,
21,NA,421.02,
22,NA,597.75,
23,NA,496.75,
24,NA,585.27,
25,NA,551.15,
26,NA,463.25,
27,NA,577.83,
28,NA,511.75,"1,4-Butanediamine"
29,NA,488.50,
30,NA,454.15,
31,NA,469.70,
32,NA,588.45,
33,NA,525.50,L-Phenylalanine
34,NA,524.28,
40,NA,467.67,L-Norleucine
42,NA,432.03,
43,NA,577.51,
45,NA,543.45,
46,NA,406.41,
47,NA,427.69,
48,NA,598.57,
49,NA,535.90,
51,NA,534.35,
52,NA,552.38,
53,NA,509.43,
54,NA,567.50,
56,NA,558.07,
57,NA,428.25,
58,NA,493.44,
59,NA,416.20,
60,NA,466.50,
63,NA,529.58,4-Hydroxybenzoic acid
64,NA,528.02,
66,NA,539.00,
70,NA,516.65,
71,NA,518.33,
74,NA,402.09,
76,NA,508.26,
77,NA,501.40,
78,NA,505.00,
79,NA,561.48,
91,NA,438.40,
92,NA,537.22,
94,NA,422.01,
95,NA,410.06,
99,NA,472.00,
101,NA,458.40,
103,NA,403.35,
108,NA,526.80,
109,NA,441.35,
111,NA,537.83,
112,NA,507.00,
125,NA,409.00,
126,NA,408.31,
135,NA,460.50,
146,NA,576.25,Aconitate
160,NA,592.20,
210,NA,421.60,
350,NA,588.32,
418,NA,467.90,
449,NA,598.53,
468,NA,534.52,
542,NA,416.79,
558,NA,529.19,
